ref_no,assocTemperature,traitValue,traitName,traitUnit,scientificName,primaryReference,primaryReferenceDOI,secondaryReference,secondaryReferenceDOI,sizeAssocName,sizeAssocValue,sizeAssocUnit
Pata_26407,25,0.00448,excretionRateN,ug N-NH4+ h^-1,Acartia (Odontacartia) australis,Hessen1991,NA,Hebert2016,10.1890/15-1275.1,dryWeight,0.0099,mg
Pata_26408,25,0.0063,excretionRateN,ug N-NH4+ h^-1,Acartia (Odontacartia) australis,Hessen1991,NA,Hebert2016,10.1890/15-1275.1,dryWeight,0.00937,mg
Pata_26409,25,0.0042,excretionRateN,ug N-NH4+ h^-1,Acartia (Odontacartia) australis,Hessen1991,NA,Hebert2016,10.1890/15-1275.1,dryWeight,0.00972,mg
Pata_26410,25,0.0028,excretionRateN,ug N-NH4+ h^-1,Acartia (Odontacartia) australis,Hessen1991,NA,Hebert2016,10.1890/15-1275.1,dryWeight,0.00747,mg
Pata_26411,14.2,0.0035,excretionRateN,ug N-NH4+ h^-1,Acartia (Acartiura) clausi,Hessen1990,NA,Hebert2016,10.1890/15-1275.1,dryWeight,0.0063,mg
Pata_26412,14.2,0.0071,excretionRateN,ug N-NH4+ h^-1,Acartia (Acartiura) clausi,Hessen1990,NA,Hebert2016,10.1890/15-1275.1,dryWeight,0.0064,mg
Pata_26413,15.4,0.005,excretionRateN,ug N-NH4+ h^-1,Acartia (Acartiura) clausi,Hessen1990,NA,Hebert2016,10.1890/15-1275.1,dryWeight,0.0104,mg
Pata_26414,15.4,0.0074,excretionRateN,ug N-NH4+ h^-1,Acartia (Acartiura) clausi,Hessen1990,NA,Hebert2016,10.1890/15-1275.1,dryWeight,0.0108,mg
Pata_26415,9.7,0.0026,excretionRateN,ug N-NH4+ h^-1,Acartia (Acartiura) longiremis,Hessen1990,NA,Hebert2016,10.1890/15-1275.1,dryWeight,0.0068,mg
Pata_26416,9.7,0.0014,excretionRateN,ug N-NH4+ h^-1,Acartia (Acartiura) longiremis,Hessen1990,NA,Hebert2016,10.1890/15-1275.1,dryWeight,0.007,mg
Pata_26417,13.1,0.0018,excretionRateN,ug N-NH4+ h^-1,Acartia (Acartiura) longiremis,Hessen1990,NA,Hebert2016,10.1890/15-1275.1,dryWeight,0.0076,mg
