ref_no,obsNum,primRef,primRef_URL,secRef,secRef_URL,taxa,class,life_stage,sex,BM_C,weight_unit,locality,lat,lon,source,rate_value,rate_unit,n_indiv,no_groups,n_measurements_sampled,rate_name,data_type,rate_error,rate_error_type,temp_C,weight_calc,depth_m,depth_min,depth_max,food_type,food_conc,food_conc_unit,method,treatment,sourceNotes,verbatimComments,comments
Pata_excl_284,1,Reeve1975b,NA,McConville2017,10.1093/plankt/fbw094,Ferosagitta hispida,Sagittoidea,NA,NA,9.8e-4,mg,NA,NA,NA,literature,0.010416666666666666,mgC/hr,NA,NA,NA,GrowthRate,NA,NA,NA,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Used average value for genus Sagitta from Kiorboe composition,NA
Pata_excl_292,2,Reeve1975b,NA,McConville2017,10.1093/plankt/fbw094,Ferosagitta hispida,Sagittoidea,NA,NA,0.1567,mg,NA,NA,NA,literature,0.003458333,mgC/hr,NA,NA,NA,GrowthRate,NA,NA,NA,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Used average value for genus Sagitta from Kiorboe composition,NA
Pata_excl_295,3,Reeve1975b,NA,McConville2017,10.1093/plankt/fbw094,Ferosagitta hispida,Sagittoidea,NA,NA,0.23842,mg,NA,NA,NA,literature,0.001833333,mgC/hr,NA,NA,NA,GrowthRate,NA,NA,NA,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Used average value for genus Sagitta from Kiorboe composition,NA
Pata_excl_298,4,Reeve1975b,NA,McConville2017,10.1093/plankt/fbw094,Ferosagitta hispida,Sagittoidea,NA,NA,9.8e-4,mg,NA,NA,NA,literature,0.014583333333333332,mgC/hr,NA,NA,NA,GrowthRate,NA,NA,NA,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Used average value for genus Sagitta from Kiorboe composition,NA
Pata_excl_306,5,Reeve1975b,NA,McConville2017,10.1093/plankt/fbw094,Ferosagitta hispida,Sagittoidea,NA,NA,0.1567,mg,NA,NA,NA,literature,0.003083333,mgC/hr,NA,NA,NA,GrowthRate,NA,NA,NA,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Used average value for genus Sagitta from Kiorboe composition,NA
Pata_excl_309,6,Reeve1975b,NA,McConville2017,10.1093/plankt/fbw094,Ferosagitta hispida,Sagittoidea,NA,NA,0.23842,mg,NA,NA,NA,literature,2.916666666666667e-4,mgC/hr,NA,NA,NA,GrowthRate,NA,NA,NA,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Used average value for genus Sagitta from Kiorboe composition,NA
Pata_excl_312,7,Reeve1975b,NA,McConville2017,10.1093/plankt/fbw094,Ferosagitta hispida,Sagittoidea,NA,NA,9.8e-4,mg,NA,NA,NA,literature,0.017083333333333332,mgC/hr,NA,NA,NA,GrowthRate,NA,NA,NA,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Used average value for genus Sagitta from Kiorboe composition,NA
Pata_excl_319,8,Reeve1975b,NA,McConville2017,10.1093/plankt/fbw094,Ferosagitta hispida,Sagittoidea,NA,NA,0.09788,mg,NA,NA,NA,literature,0.004583333,mgC/hr,NA,NA,NA,GrowthRate,NA,NA,NA,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Used average value for genus Sagitta from Kiorboe composition,NA
Pata_excl_322,9,Reeve1975b,NA,McConville2017,10.1093/plankt/fbw094,Ferosagitta hispida,Sagittoidea,NA,NA,0.1567,mg,NA,NA,NA,literature,0.001708333,mgC/hr,NA,NA,NA,GrowthRate,NA,NA,NA,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Used average value for genus Sagitta from Kiorboe composition,NA
Pata_excl_325,10,Reeve1970b,NA,McConville2017,10.1093/plankt/fbw094,Ferosagitta hispida,Sagittoidea,NA,NA,0.0278,mg,NA,NA,NA,literature,0.003291667,mgC/hr,NA,NA,NA,GrowthRate,NA,NA,NA,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Used average value for genus Sagitta from Kiorboe composition,NA
Pata_excl_328,11,Reeve1970b,NA,McConville2017,10.1093/plankt/fbw094,Ferosagitta hispida,Sagittoidea,NA,NA,0.013,mg,NA,NA,NA,literature,0.005125,mgC/hr,NA,NA,NA,GrowthRate,NA,NA,NA,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Used average value for genus Sagitta from Kiorboe composition,NA
Pata_excl_331,12,Reeve1970b,NA,McConville2017,10.1093/plankt/fbw094,Ferosagitta hispida,Sagittoidea,NA,NA,0.0368,mg,NA,NA,NA,literature,0.005625,mgC/hr,NA,NA,NA,GrowthRate,NA,NA,NA,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Used average value for genus Sagitta from Kiorboe composition,NA
Pata_excl_334,13,Reeve1970b,NA,McConville2017,10.1093/plankt/fbw094,Ferosagitta hispida,Sagittoidea,NA,NA,0.0381,mg,NA,NA,NA,literature,8.333333333333333e-5,mgC/hr,NA,NA,NA,GrowthRate,NA,NA,NA,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Used average value for genus Sagitta from Kiorboe composition,NA
Pata_excl_337,14,Reeve1970b,NA,McConville2017,10.1093/plankt/fbw094,Ferosagitta hispida,Sagittoidea,NA,NA,0.0335,mg,NA,NA,NA,literature,0.004916667,mgC/hr,NA,NA,NA,GrowthRate,NA,NA,NA,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Used average value for genus Sagitta from Kiorboe composition,NA
Pata_excl_340,3,Klein1982b,NA,McConville2017,10.1093/plankt/fbw094,Acartia (Acartiura) clausi,Copepoda,NA,NA,1.32e-4,mg,NA,NA,NA,literature,0.010333333333333333,mgC/hr,NA,NA,NA,GrowthRate,NA,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nauplii, calanoid cvol",NA
Pata_excl_343,4,Klein1982b,NA,McConville2017,10.1093/plankt/fbw094,Acartia (Acartiura) clausi,Copepoda,NA,NA,0.001131,mg,NA,NA,NA,literature,0.012833333333333334,mgC/hr,NA,NA,NA,GrowthRate,NA,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Copepodites, calanoid cvol",NA
Pata_excl_346,2,Berggreen1988,NA,McConville2017,10.1093/plankt/fbw094,Acartia (Acanthacartia) tonsa,Copepoda,NA,NA,2.1e-4,mg,NA,NA,NA,literature,0.01875,mgC/hr,NA,NA,NA,GrowthRate,NA,NA,NA,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"All, calanoid cvol",NA
Pata_excl_349,4,Kimmerer1987b,NA,McConville2017,10.1093/plankt/fbw094,Acartia (Acartiura) tranteri,Copepoda,NA,NA,6e-4,mg,NA,NA,NA,literature,0.005583333,mgC/hr,NA,NA,NA,GrowthRate,NA,NA,NA,12.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Copepepodite, calanoid cvol",NA
Pata_excl_352,5,Kimmerer1987b,NA,McConville2017,10.1093/plankt/fbw094,Acartia (Acartiura) tranteri,Copepoda,NA,NA,6e-4,mg,NA,NA,NA,literature,0.008583333,mgC/hr,NA,NA,NA,GrowthRate,NA,NA,NA,15.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Copepepodite, calanoid cvol",NA
Pata_excl_355,6,Kimmerer1987b,NA,McConville2017,10.1093/plankt/fbw094,Acartia (Acartiura) tranteri,Copepoda,NA,NA,6e-4,mg,NA,NA,NA,literature,0.01275,mgC/hr,NA,NA,NA,GrowthRate,NA,NA,NA,20.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Copepepodite, calanoid cvol",NA
Pata_excl_358,3,Escribano,NA,McConville2017,10.1093/plankt/fbw094,Calanus chilensis,Copepoda,NA,NA,0.00399,mg,NA,NA,NA,literature,0.00575,mgC/hr,NA,NA,NA,GrowthRate,NA,NA,NA,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Copepodites, calanus cvol",NA
Pata_excl_361,4,Escribano,NA,McConville2017,10.1093/plankt/fbw094,Calanus chilensis,Copepoda,NA,NA,0.00399,mg,NA,NA,NA,literature,0.006583333,mgC/hr,NA,NA,NA,GrowthRate,NA,NA,NA,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Copepodites, calanus cvol",NA
Pata_excl_364,3,Campbell200,NA,McConville2017,10.1093/plankt/fbw094,Calanus finmarchicus,Copepoda,NA,NA,4.7e-4,mg,NA,NA,NA,literature,0.010458333333333333,mgC/hr,NA,NA,NA,GrowthRate,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Nauplii,NA
Pata_excl_367,4,Campbell200,NA,McConville2017,10.1093/plankt/fbw094,Calanus finmarchicus,Copepoda,NA,NA,0.0255,mg,NA,NA,NA,literature,0.00825,mgC/hr,NA,NA,NA,GrowthRate,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Copepodites,NA
Pata_excl_370,3,Escribano1992b,NA,McConville2017,10.1093/plankt/fbw094,Calanus glacialis,Copepoda,NA,NA,0.0656,mg,NA,NA,NA,literature,0.001916667,mgC/hr,NA,NA,NA,GrowthRate,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CIII-Adult, calanus cvol",NA
Pata_excl_373,4,Escribano1992b,NA,McConville2017,10.1093/plankt/fbw094,Calanus glacialis,Copepoda,NA,NA,0.0594,mg,NA,NA,NA,literature,0.002208333,mgC/hr,NA,NA,NA,GrowthRate,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CIII-Adult, calanus cvol",NA
Pata_excl_376,6,Paffenhofer1976,NA,McConville2017,10.1093/plankt/fbw094,Calanus helgolandicus,Copepoda,NA,NA,6.69e-4,mg,NA,NA,NA,literature,0.017083333333333332,mgC/hr,NA,NA,NA,GrowthRate,NA,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Nauplii,NA
Pata_excl_380,7,Paffenhofer1976,NA,McConville2017,10.1093/plankt/fbw094,Calanus helgolandicus,Copepoda,NA,NA,0.014607,mg,NA,NA,NA,literature,0.01375,mgC/hr,NA,NA,NA,GrowthRate,NA,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Copepodite,NA
Pata_excl_383,8,Paffenhofer1976,NA,McConville2017,10.1093/plankt/fbw094,Calanus helgolandicus,Copepoda,NA,NA,0.015624,mg,NA,NA,NA,literature,0.008125,mgC/hr,NA,NA,NA,GrowthRate,NA,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Copepodite,NA
Pata_excl_386,9,Paffenhofer1976,NA,McConville2017,10.1093/plankt/fbw094,Calanus helgolandicus,Copepoda,NA,NA,0.032946,mg,NA,NA,NA,literature,0.008333333,mgC/hr,NA,NA,NA,GrowthRate,NA,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Copepodite,NA
Pata_excl_389,4,Peterson1986b,NA,McConville2017,10.1093/plankt/fbw094,Calanus marshallae,Copepoda,NA,NA,4e-4,mg,NA,NA,NA,literature,0.002083333,mgC/hr,NA,NA,NA,GrowthRate,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"egg-NIV, calanus cvol",NA
Pata_excl_392,5,Peterson1986b,NA,McConville2017,10.1093/plankt/fbw094,Calanus marshallae,Copepoda,NA,NA,0.008,mg,NA,NA,NA,literature,0.007333333,mgC/hr,NA,NA,NA,GrowthRate,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NV-CV, calanus cvol",NA
Pata_excl_395,6,Peterson1986b,NA,McConville2017,10.1093/plankt/fbw094,Calanus marshallae,Copepoda,NA,NA,0.1,mg,NA,NA,NA,literature,0.001,mgC/hr,NA,NA,NA,GrowthRate,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CV-Female, calanus cvol",NA
Pata_excl_398,13,Vidal1980b,NA,McConville2017,10.1093/plankt/fbw094,Calanus pacificus,Copepoda,NA,NA,0.0036,mg,NA,NA,NA,literature,0.017187499999999998,mgC/hr,NA,NA,NA,GrowthRate,NA,NA,NA,15.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Copepodite,NA
Pata_excl_401,14,Vidal1980b,NA,McConville2017,10.1093/plankt/fbw094,Calanus pacificus,Copepoda,NA,NA,0.0088,mg,NA,NA,NA,literature,0.014779166666666668,mgC/hr,NA,NA,NA,GrowthRate,NA,NA,NA,15.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Copepodite,NA
Pata_excl_404,15,Vidal1980b,NA,McConville2017,10.1093/plankt/fbw094,Calanus pacificus,Copepoda,NA,NA,0.024,mg,NA,NA,NA,literature,0.011554166666666666,mgC/hr,NA,NA,NA,GrowthRate,NA,NA,NA,15.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Copepodite,NA
Pata_excl_407,16,Vidal1980b,NA,McConville2017,10.1093/plankt/fbw094,Calanus pacificus,Copepoda,NA,NA,0.056,mg,NA,NA,NA,literature,0.0061875,mgC/hr,NA,NA,NA,GrowthRate,NA,NA,NA,15.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Copepodite,NA
