IDENTIFIERS,,,,,CORE TRAIT INFORMATION,,,,,,,,,,,,,,,,,,,,,DATA PROVENANCE,,,,,,,,,,,,,,
obsNum,primRef,primRef_URL,secRef,secRef_URL,taxa,life_stage,sex,n_indiv,no_groups,n_measurements_sampled,rate_name,rate_value,rate_min,rate_max,data_type,rate_unit,rate_error,rate_error_type,temp_C,body_length_mm,BM_wet,BM_dry,BM_C,weight_unit,weight_calc,depth_m,depth_min,depth_max,food_type,food_conc,food_conc_unit,method,treatment,locality,lat,lon,source,sourceNotes,verbatimComments,comments
1,Atkinson1997,https://www.int-res.com/abstracts/meps/v160/meps160063,Acuna2011,https://doi.org/10.1594/PANGAEA.832240,Euphausia superba,Unkown,Unkown,NA,NA,NA,ClearanceRate,0.991,NA,NA,Replicate,l/ind/day,NA,NA,2,NA,0.000246,5.42e-05,1.93e-05,kg,Calculated,NA,NA,NA,NA,NA,NA,In situ bottle incubation,NA,South Georgia Island,-54.1,-36.533333,Pangaea,Downloaded tab-delimited dataset from Pangaea and extracted data from csv. Verified carbon weight units and values from secondary reference supp matterials,Carbon to DW conversion factors from Meyer et al. (2002) WW to dry weigth conversion factor from Ikeda and Bruce (1986).,Extracted from Acuna2011 and verified with supplementary materials
2,Atkinson1997,https://www.int-res.com/abstracts/meps/v160/meps160063,Acuna2011,https://doi.org/10.1594/PANGAEA.832240,Euphausia superba,Unkown,Unkown,NA,NA,NA,ClearanceRate,4.37,NA,NA,Replicate,l/ind/day,NA,NA,2,NA,0.000246,5.42e-05,1.93e-05,kg,Calculated,NA,NA,NA,NA,NA,NA,In situ bottle incubation,NA,South Georgia Island,-54.1,-36.533333,Pangaea,Downloaded tab-delimited dataset from Pangaea and extracted data from csv. Verified carbon weight units and values from secondary reference supp matterials,Carbon to DW conversion factors from Meyer et al. (2002) WW to dry weigth conversion factor from Ikeda and Bruce (1986).,Extracted from Acuna2011 and verified with supplementary materials
3,Atkinson1997,https://www.int-res.com/abstracts/meps/v160/meps160063,Acuna2011,https://doi.org/10.1594/PANGAEA.832240,Euphausia superba,Unkown,Unkown,NA,NA,NA,ClearanceRate,4.73,NA,NA,Replicate,l/ind/day,NA,NA,2,NA,0.000246,5.42e-05,1.93e-05,kg,Calculated,NA,NA,NA,NA,NA,NA,In situ bottle incubation,NA,South Georgia Island,-54.1,-36.533333,Pangaea,Downloaded tab-delimited dataset from Pangaea and extracted data from csv. Verified carbon weight units and values from secondary reference supp matterials,Carbon to DW conversion factors from Meyer et al. (2002) WW to dry weigth conversion factor from Ikeda and Bruce (1986).,Extracted from Acuna2011 and verified with supplementary materials
4,Atkinson1997,https://www.int-res.com/abstracts/meps/v160/meps160063,Acuna2011,https://doi.org/10.1594/PANGAEA.832240,Euphausia superba,Unkown,Unkown,NA,NA,NA,ClearanceRate,6.28,NA,NA,Replicate,l/ind/day,NA,NA,2,NA,0.000246,5.42e-05,1.93e-05,kg,Calculated,NA,NA,NA,NA,NA,NA,In situ bottle incubation,NA,South Georgia Island,-54.1,-36.533333,Pangaea,Downloaded tab-delimited dataset from Pangaea and extracted data from csv. Verified carbon weight units and values from secondary reference supp matterials,Carbon to DW conversion factors from Meyer et al. (2002) WW to dry weigth conversion factor from Ikeda and Bruce (1986).,Extracted from Acuna2011 and verified with supplementary materials
5,Atkinson1997,https://www.int-res.com/abstracts/meps/v160/meps160063,Acuna2011,https://doi.org/10.1594/PANGAEA.832240,Euphausia superba,Unkown,Unkown,NA,NA,NA,ClearanceRate,3.71,NA,NA,Replicate,l/ind/day,NA,NA,2,NA,0.000246,5.42e-05,1.93e-05,kg,Calculated,NA,NA,NA,NA,NA,NA,In situ bottle incubation,NA,South Georgia Island,-54.1,-36.533333,Pangaea,Downloaded tab-delimited dataset from Pangaea and extracted data from csv. Verified carbon weight units and values from secondary reference supp matterials,Carbon to DW conversion factors from Meyer et al. (2002) WW to dry weigth conversion factor from Ikeda and Bruce (1986).,Extracted from Acuna2011 and verified with supplementary materials
6,Atkinson1997,https://www.int-res.com/abstracts/meps/v160/meps160063,Acuna2011,https://doi.org/10.1594/PANGAEA.832240,Euphausia superba,Unkown,Unkown,NA,NA,NA,ClearanceRate,2.66,NA,NA,Replicate,l/ind/day,NA,NA,2,NA,0.000246,5.42e-05,1.93e-05,kg,Calculated,NA,NA,NA,NA,NA,NA,In situ bottle incubation,NA,South Georgia Island,-54.1,-36.533333,Pangaea,Downloaded tab-delimited dataset from Pangaea and extracted data from csv. Verified carbon weight units and values from secondary reference supp matterials,Carbon to DW conversion factors from Meyer et al. (2002) WW to dry weigth conversion factor from Ikeda and Bruce (1986).,Extracted from Acuna2011 and verified with supplementary materials
7,Atkinson1997,https://www.int-res.com/abstracts/meps/v160/meps160063,Acuna2011,https://doi.org/10.1594/PANGAEA.832240,Euphausia superba,Unkown,Unkown,NA,NA,NA,ClearanceRate,2,NA,NA,Replicate,l/ind/day,NA,NA,2,NA,0.000246,5.42e-05,1.93e-05,kg,Calculated,NA,NA,NA,NA,NA,NA,In situ bottle incubation,NA,South Georgia Island,-54.1,-36.533333,Pangaea,Downloaded tab-delimited dataset from Pangaea and extracted data from csv. Verified carbon weight units and values from secondary reference supp matterials,Carbon to DW conversion factors from Meyer et al. (2002) WW to dry weigth conversion factor from Ikeda and Bruce (1986).,Extracted from Acuna2011 and verified with supplementary materials
8,Atkinson1997,https://www.int-res.com/abstracts/meps/v160/meps160063,Acuna2011,https://doi.org/10.1594/PANGAEA.832240,Euphausia superba,Unkown,Unkown,NA,NA,NA,ClearanceRate,2.17,NA,NA,Replicate,l/ind/day,NA,NA,2,NA,0.000246,5.42e-05,1.93e-05,kg,Calculated,NA,NA,NA,NA,NA,NA,In situ bottle incubation,NA,South Georgia Island,-54.1,-36.533333,Pangaea,Downloaded tab-delimited dataset from Pangaea and extracted data from csv. Verified carbon weight units and values from secondary reference supp matterials,Carbon to DW conversion factors from Meyer et al. (2002) WW to dry weigth conversion factor from Ikeda and Bruce (1986).,Extracted from Acuna2011 and verified with supplementary materials
9,Atkinson1997,https://www.int-res.com/abstracts/meps/v160/meps160063,Acuna2011,https://doi.org/10.1594/PANGAEA.832240,Euphausia superba,Unkown,Unkown,NA,NA,NA,ClearanceRate,4.31,NA,NA,Replicate,l/ind/day,NA,NA,2,NA,0.000246,5.42e-05,1.93e-05,kg,Calculated,NA,NA,NA,NA,NA,NA,In situ bottle incubation,NA,South Georgia Island,-54.1,-36.533333,Pangaea,Downloaded tab-delimited dataset from Pangaea and extracted data from csv. Verified carbon weight units and values from secondary reference supp matterials,Carbon to DW conversion factors from Meyer et al. (2002) WW to dry weigth conversion factor from Ikeda and Bruce (1986).,Extracted from Acuna2011 and verified with supplementary materials
10,Atkinson1997,https://www.int-res.com/abstracts/meps/v160/meps160063,Acuna2011,https://doi.org/10.1594/PANGAEA.832240,Euphausia superba,Unkown,Unkown,NA,NA,NA,ClearanceRate,5.48,NA,NA,Replicate,l/ind/day,NA,NA,2,NA,0.000246,5.42e-05,1.93e-05,kg,Calculated,NA,NA,NA,NA,NA,NA,In situ bottle incubation,NA,South Georgia Island,-54.1,-36.533333,Pangaea,Downloaded tab-delimited dataset from Pangaea and extracted data from csv. Verified carbon weight units and values from secondary reference supp matterials,Carbon to DW conversion factors from Meyer et al. (2002) WW to dry weigth conversion factor from Ikeda and Bruce (1986).,Extracted from Acuna2011 and verified with supplementary materials
