,IDENTIFIERS,,,,,CORE TRAIT INFORMATION,,,,,,,,,,,,,,,,,,,,,DATA PROVENANCE,,,,,,,,,,,,,,
ref_no,obsNum,primRef,primRef_URL,secRef,secRef_URL,taxa,life_stage,sex,n_indiv,no_groups,n_measurements_sampled,rate_name,rate_value,rate_min,rate_max,data_type,rate_unit,rate_error,rate_error_type,temp_C,body_length_mm,BM_wet,BM_dry,BM_C,weight_unit,weight_calc,depth_m,depth_min,depth_max,food_type,food_conc,food_conc_unit,method,treatment,locality,lat,lon,source,sourceNotes,verbatimComments,comments
Pata_excl_7539,1,Almeda2011,10.4319/lo.2011.56.1.0403,Brun2016,10.1594/PANGAEA.862968,Oithona davisae,N1,Unknown,NA,NA,NA,RespirationRate,24.734982332155475,NA,NA,Replicate,ulO2/mgC/hr,NA,NA,20,NA,NA,NA,2.83e-5,mg,NA,NA,NA,NA,NA,NA,NA,NA,NA,Laboratory culture,41.3855193,2.196125161,Pata2023,https://onlinelibrary.wiley.com/doi/abs/10.1002/lno.12478,NA,NA
Pata_excl_7541,2,Almeda2011,10.4319/lo.2011.56.1.0403,Brun2016,10.1594/PANGAEA.862968,Oithona davisae,N2,Unknown,NA,NA,NA,RespirationRate,22.190201729106626,NA,NA,Replicate,ulO2/mgC/hr,NA,NA,20,NA,NA,NA,3.47e-5,mg,NA,NA,NA,NA,NA,NA,NA,NA,NA,Laboratory culture,41.3855193,2.196125161,Pata2023,https://onlinelibrary.wiley.com/doi/abs/10.1002/lno.12478,NA,NA
Pata_excl_7543,3,Almeda2011,10.4319/lo.2011.56.1.0403,Brun2016,10.1594/PANGAEA.862968,Oithona davisae,N3,Unknown,NA,NA,NA,RespirationRate,21.91142191142191,NA,NA,Replicate,ulO2/mgC/hr,NA,NA,20,NA,NA,NA,4.29e-5,mg,NA,NA,NA,NA,NA,NA,NA,NA,NA,Laboratory culture,41.3855193,2.196125161,Pata2023,https://onlinelibrary.wiley.com/doi/abs/10.1002/lno.12478,NA,NA
Pata_excl_7545,4,Almeda2011,10.4319/lo.2011.56.1.0403,Brun2016,10.1594/PANGAEA.862968,Oithona davisae,N4,Unknown,NA,NA,NA,RespirationRate,19.005847953216374,NA,NA,Replicate,ulO2/mgC/hr,NA,NA,20,NA,NA,NA,6.84e-5,mg,NA,NA,NA,NA,NA,NA,NA,NA,NA,Laboratory culture,41.3855193,2.196125161,Pata2023,https://onlinelibrary.wiley.com/doi/abs/10.1002/lno.12478,NA,NA
Pata_excl_7547,5,Almeda2011,10.4319/lo.2011.56.1.0403,Brun2016,10.1594/PANGAEA.862968,Oithona davisae,C1,Unknown,NA,NA,NA,RespirationRate,15.90909090909091,NA,NA,Replicate,ulO2/mgC/hr,NA,NA,20,NA,NA,NA,1.76e-4,mg,NA,NA,NA,NA,NA,NA,NA,NA,NA,Laboratory culture,41.3855193,2.196125161,Pata2023,https://onlinelibrary.wiley.com/doi/abs/10.1002/lno.12478,NA,NA
Pata_excl_7549,6,Almeda2011,10.4319/lo.2011.56.1.0403,Brun2016,10.1594/PANGAEA.862968,Oithona davisae,N3,Unknown,NA,NA,NA,RespirationRate,9.306569343065695,NA,NA,Replicate,ulO2/mgC/hr,NA,NA,16,NA,NA,NA,5.48e-5,mg,NA,NA,NA,NA,NA,NA,NA,NA,NA,Laboratory culture,41.3855193,2.196125161,Pata2023,https://onlinelibrary.wiley.com/doi/abs/10.1002/lno.12478,NA,NA
Pata_excl_7551,7,Almeda2011,10.4319/lo.2011.56.1.0403,Brun2016,10.1594/PANGAEA.862968,Oithona davisae,N3,Unknown,NA,NA,NA,RespirationRate,17.335766423357665,NA,NA,Replicate,ulO2/mgC/hr,NA,NA,19.3,NA,NA,NA,5.48e-5,mg,NA,NA,NA,NA,NA,NA,NA,NA,NA,Laboratory culture,41.3855193,2.196125161,Pata2023,https://onlinelibrary.wiley.com/doi/abs/10.1002/lno.12478,NA,NA
Pata_excl_7553,8,Almeda2011,10.4319/lo.2011.56.1.0403,Brun2016,10.1594/PANGAEA.862968,Oithona davisae,N3,Unknown,NA,NA,NA,RespirationRate,25,NA,NA,Replicate,ulO2/mgC/hr,NA,NA,24.5,NA,NA,NA,5.48e-5,mg,NA,NA,NA,NA,NA,NA,NA,NA,NA,Laboratory culture,41.3855193,2.196125161,Pata2023,https://onlinelibrary.wiley.com/doi/abs/10.1002/lno.12478,NA,NA
Pata_excl_7555,9,Almeda2011,10.4319/lo.2011.56.1.0403,Brun2016,10.1594/PANGAEA.862968,Oithona davisae,N3,Unknown,NA,NA,NA,RespirationRate,29.927007299270073,NA,NA,Replicate,ulO2/mgC/hr,NA,NA,28,NA,NA,NA,5.48e-5,mg,NA,NA,NA,NA,NA,NA,NA,NA,NA,Laboratory culture,41.3855193,2.196125161,Pata2023,https://onlinelibrary.wiley.com/doi/abs/10.1002/lno.12478,NA,NA
