No,clearance,ingestion,growth,respiration,excretion
1,Acuna2000,Acuna2000,Anger1983,Almeda2011,Andersen1989
2,Agersted2011,Agersted2011,Arai1980,Arashkevich2024,Bamstedt1984; Willason1986
3,Almeda2010,Almeda2010,Bamstedt1999,Auel2003,Bamstedt1985
4,Andersen1985,Ambler1974,Bamstedt2001,Castellani2005,Gardner1993
5,Atkinson1997,Andersen1985,Berggreen1988,Goldstein2023,Gismervik1997
6,Atkinson2002,Boyd1984,Buchholz1991,Iguchi2004,Gorsky1987
7,Bamstedt1990,Deibel1982,Campbell200,Ikeda1970,Gorsky1988a
8,Bamstedt1994,Drits1984,Clutter1971,Ikeda1974,Gorsky1988b
9,Bargu2003,Durbin1992,Costello1991,Ikeda2007,Hessen1990
10,Berggreen1988,Durtz1998,Daan1986,Isari2015,Hessen1990; James1991
11,Boyd1984,Fernandez1979,Dagg1976,Koster2008,Hessen1991
12,Broms2003,Gibson2000,Deibel1982,Koster2010,Ikeda1981
13,Deibel1982,Henriksen2007,Escribano,Larson1987,Ikeda2006
14,Deibel1985,Hooff2004,Escribano1992,LopezUrrutia2006,IkedaDatabase
15,Drits1984,Isari2010,Frandsen1997,Mayzaud2005,Kouassi2006
16,Durbin1992,Isari2011,Fryd1991,Moller2007,Lee1971
17,Durtz1998,Isari2014,Gibson2000,Nishibe2008,Libourel1987
18,Fernandez1979,Kiorboe2007,Goldstein2023,Ross1982,Paffenhofer1984
19,FrancoSantos2018,KleinBreteler1990,Grove2005,Segawa1982,Saito2000
20,Gibson2000,Lampitt1978,Harris1976,Stuart1986,Shimauchi2007
21,Hansson2005,Liu2002,Heinle1975,NA,Tande1982
22,Harbison1976,McClatchie1985,Hirota1972,NA,Walve1999
23,Haywood2003,Nagasawa1984,Ikeda1985,NA,Wen1996
24,Henriksen2007a,Nejstgaard1995,Ikeda1991,NA,Whittaker1961
25,Henriksen2007b,Ohman1984,Jacobi1985,NA,NA
26,Hooff2004,Paffenhofer1993,Kawahara2006,NA,NA
27,Isari2010,Pilditch1994,Kimmerer1987,NA,NA
28,Isari2014,Reeve1980,Kimoto1986,NA,NA
29,Kiorboe2007,Rey2001,Klein1982,NA,NA
30,Lampitt1978,ReyRassat2002a,Kremer1989,NA,NA
31,Landry1985,ReyRassat2002b,Larson1986,NA,NA
32,Liu2002,Ross1982,Larson1987,NA,NA
33,Madin1992,Saiz1995,Lasker1966,NA,NA
34,Madin1995,Stuart1986,Logan1978,NA,NA
35,McClatchie1985,Teegarden1999,Moller2007,NA,NA
36,Meyer2002,Thor2017,Olesen1994,NA,NA
37,Moller2007,Uye1986,Olesen1996,NA,NA
38,Morand1987,Uye1994a,Paffenhofer1976,NA,NA
39,Nagasawa1984,Uye1994b,Paffenhofer1993,NA,NA
40,Nakamura1997,Yen1985,Peterson1986,NA,NA
41,Nassogne1970,Yen1987,Reeve1970,NA,NA
42,Nejstgaard1995,ZamoraTerol2013,Reeve1975,NA,NA
43,Paffenhofer1993,Zervoudaki2007,Reeve1976,NA,NA
44,Pilditch1994,NA,Reeve1978,NA,NA
45,Price1988,NA,Reeve1989,NA,NA
46,Purcell1995,NA,Rey2001,NA,NA
47,Purcell2003,NA,Ross1982,NA,NA
48,Reeve1978,NA,Sabatini1994,NA,NA
49,Reeve1980,NA,Senjie1989,NA,NA
50,Robertson1977,NA,Uye1983,NA,NA
51,Saiz2007,NA,Uye1988,NA,NA
52,Sautour1993,NA,Uye1991,NA,NA
53,Scolardi2006,NA,Vidal1980,NA,NA
54,Segawa1983,NA,Widmer2005,NA,NA
55,Stuart1986,NA,NA,NA,NA
56,Sutherland2010,NA,NA,NA,NA
57,Tebeau1994,NA,NA,NA,NA
58,Titelman1978,NA,NA,NA,NA
59,Titelman2006,NA,NA,NA,NA
60,Uye1986,NA,NA,NA,NA
61,Uye1994a,NA,NA,NA,NA
62,Uye1994b,NA,NA,NA,NA
63,Yen1985,NA,NA,NA,NA
64,Yen1987,NA,NA,NA,NA
65,ZamoraTerol2013,NA,NA,NA,NA
